Uniq Id,Crawl Timestamp,Product Url,Product Name,List Price,Sale Price,Brand,Gtin,Category,Available
3bfb52e56c4bd835a47413fe06c69137,2019-12-18 11:18:14 +0000,https://www.walmart.com/ip/United-Dairy-Cool-Cows-Whole-Milk-1-Pint/147556653,"United Dairy Cool Cows Whole Milk, 1 Pint",0.0,0.0,United Dairy,147556653,"Food | Fresh Food | Dairy, Eggs & Cheese | Milk & Cream",False
e578a4583fee7a975f7d5c25c1c9173d,2019-12-18 12:00:48 +0000,https://www.walmart.com/ip/Creative-Snacks-Co-Honey-Pecan-Drizzle-Granola/481284577,Creative Snacks Co Honey Pecan Drizzle Granola,0.0,0.0,CREATIVE SNACKS CO,481284577,Food | Breakfast & Cereal | Granola & Muesli,False
c6a2c24c7fb767be0fff8154ee6cfecc,2019-12-18 23:28:50 +0000,https://www.walmart.com/ip/Lixada-PF30-Bottom-Bracket-Road-Bike-24MM-Bearing-Bottom-Bracket-68-73mm-Bike-Bottom-Bracket-for-SHIMANO-SRAM-GXP-Prowheel/471221144,Lixada PF30 Bottom Bracket Road Bike 24MM Bearing Bottom Bracket 68-73mm Bike Bottom Bracket for SHIMANO SRAM GXP Prowheel,0.0,0.0,Lixada,471221144,Sports & Outdoors | Bikes | Bike Components | Bike Bottom Brackets,False
99fa8a7ec3b77de0c7cb3e9109e4da2b,2019-12-18 10:34:05 +0000,https://www.walmart.com/ip/JELL-O-Temptations-Ready-to-Eat-Lemon-Meringue-Pie-Snack-Cups-4-ct-13-4-oz-Package/21621593,"JELL-O Temptations Ready to Eat Lemon Meringue Pie Snack Cups, 4 ct - 13.4 oz Package",0.0,0.0,Jell-O,21621593,"Food | Snacks, Cookies & Chips | Pudding & Gelatin",False
6c684dbef4e5b0c84e11a2920f5aa9c3,2019-12-18 10:38:02 +0000,https://www.walmart.com/ip/Senor-Rico-Rice-Pudding-15-oz-4-pk-3-75-oz/181305816,Senor Rico Rice Pudding 15 oz (4 pk 3.75 oz),0.0,0.0,Senor Rico,181305816,"Food | Snacks, Cookies & Chips | Pudding & Gelatin",False
3b53ab03995765038f616425499243ae,2019-12-18 23:45:59 +0000,https://www.walmart.com/ip/Bike-Bicycle-Chainring-Folding-Bike-Single-Crank-Ring-Round-Chain-Ring-BCD-130MM-5-Bolts-Chainring-53T-45T/674905864,Bike Bicycle Chainring Folding Bike Single Crank Ring Round Chain Ring BCD 130MM 5 Bolts Chainring 53T / 45T,0.0,0.0,Anself,674905864,Sports & Outdoors | Bikes | Bike Components | Bike Cranksets,False
332ff97e73ad3bb18e486c12b72acc50,2019-12-19 07:58:49 +0000,https://www.walmart.com/ip/Reel-Bass-Crappies-Perch-Walleyes-Baitcasting-18LB-Drag-Steel-Fishing-Trout-System-11-1-Super-Magnetic-Stainless-Bearings-Brake-Reel/899533962,"Baitcasting Reel, 11+1 Stainless Steel Bearings, 18LB Super Drag, Magnetic Brake System Fishing Reel for Bass, Crappies, Perch, Trout, Walleyes Fishing",0.0,0.0,KCEOSK,899533962,Sports & Outdoors | Outdoor Sports | Fishing | Fishing Reels | All Fishing Reels,False
1396e35d2457962334e8faee0e2ac8e4,2019-12-19 08:01:39 +0000,https://www.walmart.com/ip/Fly-Fishing-the-Magalloway-River-eBook/140098527,Fly Fishing the Magalloway River - eBook,0.0,0.0,Kris Thompson,140098527,"Sports & Outdoors | Outdoor Sports | Fishing | Fishing Lures & Baits | All Lures, Baits and Attractants",False
eef0fb41b868023dc6056b276525a3de,2019-12-18 09:18:46 +0000,https://www.walmart.com/ip/Aufschnitt-Aufschnitt-Beef-Jerky-2-oz/136350701,"Aufschnitt Aufschnitt Beef Jerky, 2 oz",0.0,0.0,Aufschnitt,136350701,"Food | Snacks, Cookies & Chips | Jerky & Dried Meats | Beef Jerky",False
a4a7c06c6002e8daf5f2af3d01472e35,2019-12-19 08:26:26 +0000,https://www.walmart.com/ip/Two-Station-Scuba-Hose-Holder-with-Swivel-Gate-Clip-Yellow-Securely-holds-two-equipment-hoses-By-Trident/891704199,"Two Station Scuba Hose Holder with Swivel Gate Clip (Yellow), Securely holds two equipment hoses By Trident",0.0,0.0,Trident,891704199,"Sports & Outdoors | Outdoor Sports | Water Sports | Scuba Diving | Diving Tanks, Regulators & Gauges",False
4b2c52ea380e252c74fd221af673f5fb,2019-12-18 13:18:57 +0000,https://www.walmart.com/ip/Kemps-Select-2-Reduced-Fat-Milk-16-oz/21685958,"Kemps Select 2% Reduced Fat Milk, 16 oz",0.0,0.0,Kemps,21685958,"Food | Fresh Food | Dairy, Eggs & Cheese | Milk & Cream",False
a2e3c823458341749fb0839d4f0c3fa4,2019-12-19 07:40:20 +0000,https://www.walmart.com/ip/Stanley-2-5-lb-Marking-Chalk-Refill-Red-DWHT47057/41886249,"Stanley 2.5 lb.,Marking Chalk Refill, Red, DWHT47057",0.0,0.0,STANLEY,41886249,Sports & Outdoors | Sports | Track & Field Equipment,False
906df2da6567db031ee3d5e3aadc554e,2019-12-18 08:58:18 +0000,https://www.walmart.com/ip/Baby-Nail-Clipper-By-Cala/113968710,Baby Nail Clipper By Cala,0.0,0.0,Cala,113968710,Baby | Diapering | Baby Care,False
383d6d62288d6129343e72f2689304dc,2019-12-18 14:27:23 +0000,https://www.walmart.com/ip/Solar-Power-Bug-Mosquito-Killer-Garden-Lawn-Light-Lamp/915604836,Solar Power Bug Mosquito Killer Garden Lawn Light Lamp,0.0,0.0,CHARM,915604836,Household Essentials | Pest Control | All Pest Control,False
ae3f3482491097aa1cda40540619f9bc,2019-12-19 05:39:45 +0000,https://www.walmart.com/ip/Outdoor-Sport-Helmet-Breathable-Road-Bike-Helmet-Scooter-Skateboarding-Skating-Safety-Helmet-Men-Women/230826941,Outdoor Sport Helmet Breathable Road Bike Helmet Scooter Skateboarding Skating Safety Helmet Men Women,0.0,0.0,Ferrari,230826941,Toys | Kids Bikes & Riding Toys | Kids Bikes & Riding Toy Accessories | Kids Bikes & Riding Protective Gear | Kids Bike Helmets & Jaw Pads,False
21583f835801c094c6423c966aecfc83,2019-12-18 21:15:31 +0000,https://www.walmart.com/ip/Quest-Rocky-Road-Protein-Bar-2-12-Oz-4-Count/727419263,"Quest Rocky Road Protein Bar, 2.12 Oz., 4 Count",0.0,0.0,Quest Nutrition,727419263,Health | Protein & Fitness | Protein Bars,False
442c81364af2cd60ca7ae0ec8552e2f3,2019-12-18 08:31:45 +0000,https://www.walmart.com/ip/Safety-1st-Nature-Next-Bio-Plastic-Step-Stool-Blue/16383417,"Safety 1st Nature Next Bio-Plastic Step Stool, Blue",0.0,0.0,Safety 1st,16383417,Baby | Diapering | Potty Step Stools,False
cf207a55f8897105897610ae779cbecb,2019-12-18 09:19:49 +0000,https://www.walmart.com/ip/Jack-Link-s-Teriyaki-Tender-bites/103792553,Jack Links Teriyaki Tender/bites,0.0,0.0,Jack Links,103792553,"Food | Snacks, Cookies & Chips | Jerky & Dried Meats",False
7b4c51a31582fb1d144a80f8fa5c6022,2019-12-18 13:54:41 +0000,https://www.walmart.com/ip/Earthstone-International-110SS-KitchenStone-Kitchen-Cleaning-Block/31110375,Earthstone International 110SS KitchenStone Kitchen Cleaning Block,0.0,0.0,Earthstone International,31110375,Household Essentials | Cleaning Supplies | Surface Care & Protection,False
90396b38b0bc9fd1baf5f53293751b72,2019-12-18 14:45:14 +0000,https://www.walmart.com/ip/Mt-Olive-Bread-And-Butter-Spears-Old-Fashioned-Sweet-Pickles-16-fl-oz/10290689,"Mt. Olive Bread And Butter Spears Old Fashioned Sweet Pickles, 16 fl oz",0.0,0.0,Mt Olive,10290689,"Food | Condiments, Sauces & Spices | Pickles",False
